[2.109635268045543, 250]
[2.153911900330576, 253]
[2.3137895731183913, 255]
[2.1432260979744373, 257]
[2.3313633011035866, 258]
[1.9539467502869932, 259]
[1.1568561130159651, 260]
[2.7777449642885808, 261]
[2.636391656067359, 262]
[2.425744098945589, 263]
[2.2318542087420385, 266]
[2.7416942744941197, 267]
[2.808796267867371, 270]
[2.605243876887372, 271]
[2.821482774325274, 272]
[2.526704263179478, 276]
[1.8685227562735762, 277]
[2.150355866347869, 278]
[1.6633963733259236, 281]
[2.4736467636104327, 282]
[2.393986885736752, 284]
[2.0131074935303683, 287]
[2.581636434215187, 288]
[2.41942600396693, 289]
[1.7602613862307668, 290]
[1.742783881627077, 291]
[2.1844883921893845, 292]
[2.318195494762401, 294]
[2.2477993194473838, 296]
[2.345545005397436, 298]
[2.7323738921733556, 299]
[2.196135228935921, 301]
[2.4299470358085284, 302]
[1.997843159688018, 303]
[2.4695182015638313, 305]
[2.904351019028625, 306]
[2.7136370925943725, 308]
[1.9901670899234174, 310]
[2.355313087402988, 311]
[2.8259998672851836, 312]
[2.0975081778191775, 313]
[1.72216929673902, 314]
[2.7248946328436188, 315]
[2.4194260039669304, 316]
[2.2042513988852797, 320]
[2.4183713833601033, 321]
[2.4067400563574517, 322]
[2.4992957671169154, 323]
[2.6652621238203547, 325]
[2.621837209274575, 339]
[3.0441562861971847, 380]
[2.9660579461116052, 484]
[3.018066306343801, 501]
[1.8929379349059707, 1048]
[1.7975464414249636, 1049]
[1.9303033876215479, 1050]
[1.836853383353362, 1051]
[2.05077131952783, 1052]
[1.963064489177925, 1053]
[2.085310563886123, 1054]
[1.9991196391233144, 1055]
[1.701304944800314, 1056]
[1.5944897926532702, 1057]
[1.742783881627077, 1058]
[1.638674721148957, 1059]
[1.438022219215371, 1060]
[1.3099110987508162, 1061]
[1.4868641652196222, 1062]
[1.3633503693063325, 1063]
[1.6402307406425898, 1064]
[1.5291553440453354, 1065]
[1.6832153829519505, 1066]
[1.5751740250142365, 1067]
[1.5976863836523494, 1068]
[1.4834287863532887, 1069]
[2.244392046425745, 1070]
[2.164544950268442, 1071]
[2.311583463134899, 1072]
[2.2341390490997206, 1073]
[2.3422799256057925, 1074]
[2.2658849118102506, 1075]
[2.442512453730906, 1076]
[2.3693514450802864, 1077]
[2.4715833446371405, 1078]
[2.399308944917512, 1079]
[1.9565561542132528, 1080]
[1.864422475798665, 1081]
[1.9927290652386482, 1082]
[1.902348104611868, 1083]
[2.109635268045543, 1084]
[2.024480216711208, 1085]
[2.1432260979744377, 1086]
[2.059460436792172, 1087]
[2.076729607373279, 1088]
[1.9901670899234174, 1089]
[2.60720151497574, 1090]
[2.5387908388375093, 1091]
[2.462276560855985, 1092]
[2.3897207045624067, 1093]
[2.4911168188180013, 1094]
[2.4194260039669304, 1095]
[2.585585976472763, 1096]
[2.5165877742304326, 1097]
[2.6130656295986436, 1098]
[2.544812599831906, 1099]
[2.132486750179657, 1100]
[2.048281944304852, 1101]
[2.2432551386863726, 1102]
[2.163366081114402, 1103]
[2.7416942744941197, 1104]
[2.6767231232361905, 1105]
[1.9552518875514295, 1106]
[1.8630537102957867, 1107]
[1.5191128402210445, 1108]
[1.3984502154163077, 1109]
[1.6710468870966693, 1110]
[1.5621641663246977, 1111]
[2.2971921069920316, 1112]
[2.21924553848824, 1113]
[1.9604637479532065, 1114]
[1.8685227562735764, 1115]
[1.996565864151713, 1116]
[1.9063668150619246, 1117]
[2.1132598246856844, 1118]
[2.0282569537176593, 1119]
[2.146793942018589, 1120]
[2.0631731418281847, 1121]
[1.7761313568637462, 1122]
[1.6740973031780804, 1123]
[1.8159019080588563, 1124]
[1.7162339360836751, 1125]
[1.5258151869049392, 1126]
[1.4057279851604376, 1127]
[1.5719316548269193, 1128]
[1.45565391186242, 1129]
[1.717719698956029, 1130]
[1.611992601675039, 1131]
[1.7588115609805202, 1132]
[1.6557105093319313, 1133]
[1.6771421711175156, 1134]
[1.5686825828746374, 1135]
[2.3016298007481124, 1136]
[2.2238387808843663, 1137]
[2.367197116564522, 1138]
[2.291632905232611, 1139]
[2.3971815391264237, 1140]
[2.3225930584590144, 1141]
[2.4952096441508123, 1142]
[2.4236398973314275, 1143]
[2.523673574597231, 1144]
[2.4529344660617896, 1145]
[2.0219584729223317, 1146]
[1.9329447094771945, 1147]
[2.056981577233872, 1148]
[1.9695513176236408, 1149]
[2.1704296915160013, 1150]
[2.087755787798878, 1151]
[2.203093776640338, 1152]
[2.1216930438555095, 1153]
[2.1384597129180216, 1154]
[2.0544997268062355, 1155]
[2.6566339268563985, 1156]
[2.589529494907891, 1157]
[2.5145595924084656, 1158]
[2.4435566552562062, 1159]
[2.5428069306635477, 1160]
[2.4726152693664334, 1161]
[2.6354238602860955, 1162]
[2.5677651970222537, 1163]
[2.6623891650587836, 1164]
[2.59543353794619, 1165]
[2.1926476737780853, 1166]
[2.1108441451224955, 1167]
[2.3005211798363145, 1168]
[2.2226913601642804, 1169]
[2.788743727276942, 1170]
[2.7248946328436188, 1171]
[2.020696420892085, 1172]
[1.9316245000205268, 1173]
[1.6024693142013988, 1174]
[1.488578881561394, 1175]
[1.74716964846237, 1176]
[1.6433383596148392, 1177]
[2.3531459066660405, 1178]
[2.277115465173563, 1179]
[2.0042174270257793, 1246]
[1.9143789276074121, 1247]
[2.039545203630206, 1248]
[1.9513338569615524, 1249]
[2.153911900330576, 1250]
[2.0705785805081494, 1251]
[2.186822721951374, 1252]
[2.1047928166250203, 1253]
[1.8243113727074538, 1254]
[1.7251293192868828, 1255]
[1.8630537102957867, 1256]
[1.7660487850340847, 1257]
[1.5816388248727509, 1258]
[1.4661311523933749, 1259]
[1.6261729659547288, 1260]
[1.5140666097881788, 1261]
[1.7674926738000056, 1262]
[1.6649292884714844, 1263]
[1.8074533174590806, 1264]
[1.7072922065268457, 1265]
[1.7280842716418308, 1266]
[1.6230324807499528, 1267]
[2.3390102880164716, 1268]
[2.2625048753804635, 1269]
[2.403558107561889, 1270]
[2.3291738363849013, 1271]
[2.433094473974168, 1272]
